N      r
100 4e-05
100 5.65685e-05
100 6.9282e-05
100 8e-05
100 8.94427e-05
100 9.79796e-05
100 0.00010583
100 0.000113137
100 0.00012
100 0.000126491
100 0.000132665
100 0.000138564
100 0.000144222
100 0.000149666
100 0.000154919
100 0.00016
100 0.000164924
100 0.000169706
100 0.000174356
100 0.000178885
100 0.000183303
100 0.000187617
100 0.000191833
100 0.000195959
100 0.0002
95 0.000203961
90 0.000207846
81 0.00021166
78 0.000215407
74 0.000219089
76 0.000222711
76 0.000226274
70 0.000229783
68 0.000233238
67 0.000236643
64 0.00024
60 0.000243311
65 0.000246577
67 0.0002498
59 0.000252982
58 0.000256125
56 0.00025923
63 0.000262298
55 0.00026533
57 0.000268328
56 0.000271293
60 0.000274226
57 0.000277128
54 0.00028
55 0.000282843
53 0.000285657
47 0.000288444
55 0.000291204
49 0.000293939
53 0.000296648
65 0.000299333
57 0.000301993
54 0.000304631
45 0.000307246
47 0.000309839
44 0.00031241
48 0.00031496
46 0.00031749
48 0.00032
48 0.00032249
45 0.000324962
51 0.000327414
48 0.000329848
40 0.000332265
46 0.000334664
39 0.000337046
37 0.000339411
45 0.00034176
42 0.000344093
37 0.00034641
49 0.000348712
33 0.000350999
34 0.00035327
36 0.000355528
34 0.000357771
36 0.00036
42 0.000362215
41 0.000364417
34 0.000366606
32 0.000368782
35 0.000370945
41 0.000373095
43 0.000375233
38 0.000377359
39 0.000379473
42 0.000381576
39 0.000383667
40 0.000385746
36 0.000387814
30 0.000389872
34 0.000391918
35 0.000393954
29 0.00039598
28 0.000397995
24 0.0004
40 0.000401995
38 0.00040398
40 0.000405956
34 0.000407922
26 0.000409878
30 0.000411825
36 0.000413763
35 0.000415692
38 0.000417612
35 0.000419524
34 0.000421426
36 0.00042332
36 0.000425206
31 0.000427083
33 0.000428952
26 0.000430813
30 0.000432666
30 0.000434511
31 0.000436348
35 0.000438178
29 0.00044
33 0.000441814
30 0.000443621
37 0.000445421
28 0.000447214
21 0.000448999
36 0.000450777
35 0.000452548
25 0.000454313
36 0.00045607
26 0.000457821
28 0.000459565
25 0.000461303
31 0.000463033
27 0.000464758
30 0.000466476
34 0.000468188
23 0.000469894
28 0.000471593
26 0.000473286
30 0.000474974
28 0.000476655
29 0.00047833
28 0.00048
29 0.000481664
33 0.000483322
26 0.000484974
34 0.000486621
39 0.000488262
24 0.000489898
20 0.000491528
27 0.000493153
29 0.000494773
23 0.000496387
31 0.000497996
21 0.0004996
38 0.000501199
24 0.000502792
18 0.000504381
26 0.000505964
23 0.000507543
29 0.000509117
23 0.000510686
20 0.00051225
23 0.000513809
20 0.000515364
30 0.000516914
22 0.000518459
23 0.00052
22 0.000521536
21 0.000523068
24 0.000524595
27 0.000526118
24 0.000527636
21 0.00052915
24 0.00053066
26 0.000532165
22 0.000533667
26 0.000535164
20 0.000536656
26 0.000538145
19 0.00053963
28 0.00054111
29 0.000542586
22 0.000544059
26 0.000545527
23 0.000546992
23 0.000548452
22 0.000549909
27 0.000551362
23 0.000552811
17 0.000554256
21 0.000555698
23 0.000557136
28 0.00055857
23 0.00056
22 0.000561427
17 0.00056285
19 0.000564269
20 0.000565685
28 0.000567098
22 0.000568507
25 0.000569912
17 0.000571314
25 0.000572713
16 0.000574108
18 0.0005755
25 0.000576888
27 0.000578273
23 0.000579655
19 0.000581034
19 0.000582409
20 0.000583781
26 0.00058515
19 0.000586515
24 0.000587878
26 0.000589237
20 0.000590593
23 0.000591946
23 0.000593296
15 0.000594643
26 0.000595987
29 0.000597327
19 0.000598665
21 0.0006
22 0.000601332
13 0.000602661
27 0.000603987
20 0.00060531
10 0.00060663
16 0.000607947
18 0.000609262
17 0.000610574
13 0.000611882
19 0.000613188
21 0.000614492
17 0.000615792
23 0.00061709
15 0.000618385
28 0.000619677
15 0.000620967
11 0.000622254
19 0.000623538
21 0.00062482
17 0.000626099
19 0.000627375
14 0.000628649
22 0.000629921
20 0.000631189
12 0.000632456
14 0.000633719
25 0.00063498
18 0.000636239
18 0.000637495
22 0.000638749
16 0.00064
16 0.000641249
10 0.000642495
22 0.000643739
27 0.000644981
12 0.00064622
14 0.000647457
22 0.000648691
17 0.000649923
20 0.000651153
18 0.00065238
15 0.000653605
11 0.000654828
16 0.000656049
12 0.000657267
18 0.000658483
15 0.000659697
19 0.000660908
13 0.000662118
14 0.000663325
20 0.00066453
16 0.000665733
13 0.000666933
18 0.000668132
20 0.000669328
12 0.000670522
13 0.000671714
14 0.000672904
8 0.000674092
12 0.000675278
19 0.000676461
17 0.000677643
15 0.000678823
14 0.00068
17 0.000681175
17 0.000682349
11 0.00068352
12 0.00068469
11 0.000685857
11 0.000687023
13 0.000688186
18 0.000689348
15 0.000690507
15 0.000691665
19 0.00069282
